race_name,surface,distance,course,race_number,bracket_number,horse_number,horse_name,father_name,mother_name,sex,age,weight_carried,jockey,stable,horse_weight,weight_diff,horse_id
C3二三四(C3三),ダ,1600,大井,1,1,1,ノリサムソン,メイショウサムソン,マイヴィヴィアン,牡,5,56.0,野畑凌,大井大宮和也,487,-2,2021106291
C3二三四(C3三),ダ,1600,大井,1,2,2,ノアサンサン,シュヴァルグラン,ハルーワスウィート,牝,5,54.0,達城龍次,大井鷹見浩,462,2,2021102843
C3二三四(C3三),ダ,1600,大井,1,3,3,スカイレディ,Teofilo,Speirbhean,牝,5,54.0,石川駿介,大井吉井竜一,495,1,2021110024
C3二三四(C3三),ダ,1600,大井,1,4,4,キバルスター,トゥザワールド,トゥザヴィクトリー,牡,7,56.0,福原杏,大井阪本一栄,486,-3,2019100990
C3二三四(C3三),ダ,1600,大井,1,4,5,ラヴレボーテ,ワールドエース,マンデラ,牝,5,54.0,吉井章,大井米田英世,493,-2,2021105938
C3二三四(C3三),ダ,1600,大井,1,5,6,メロパール,キンシャサノキセキ,ケルトシャーン,牝,6,54.0,西啓太,大井中道啓二,457,0,2020105237
C3二三四(C3三),ダ,1600,大井,1,5,7,イイデテッシン,グァンチャーレ,チュウオーサーヤ,牡,4,56.0,笹川翼,大井村上頼章,516,-14,2022107141
C3二三四(C3三),ダ,1600,大井,1,6,8,ミチノシチリア,アイルハヴアナザー,Arch's Gal Edith,牡,8,56.0,和田譲治,大井嶋田幸晴,485,1,2018103497
C3二三四(C3三),ダ,1600,大井,1,6,9,メイショウトキイロ,デクラレーションオブウォー,Tempo West,牝,4,54.0,藤本現暉,大井大宮和也,490,11,2022103258
C3二三四(C3三),ダ,1600,大井,1,7,10,カルサパラストリス,バゴ,Moonlight's Box,セ,4,55.0,中山遥人,大井阪本一栄,433,-2,2022106373
C3二三四(C3三),ダ,1600,大井,1,7,11,マキズシトイナ,アメリカンペイトリオット,Life Well Lived,牡,5,53.0,高橋優,大井高橋清顕,489,-4,2021103810
C3二三四(C3三),ダ,1600,大井,1,8,12,シャンクドール,マジェスティックウォリアー,Dream Supreme,牝,4,51.0,杉山海波,大井中道啓二,472,4,2022104060
C3二三四(C3三),ダ,1600,大井,1,8,13,ゼンダンクラージュ,ラブリーデイ,ポップコーンジャズ,セ,7,56.0,遠藤健太,大井遠藤茂,487,6,2019106630
