date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,bracket_number,horse_number,horse_name,father_name,mother_name,sex,age,weight_carried,jockey,stable,horse_weight,weight_diff,horse_id
2026/05/10,盛岡,,1,C2,ダ,1000,,8,1,1,アドマイヤハイジ,ノヴェリスト,Night Lagoon,牝,8,54.0,山本政聡,岩手菅原学,,,2018104891
2026/05/10,盛岡,,1,C2,ダ,1000,,8,2,2,ミツカネスコーピオ,カレンブラックヒル,チャールストンハーバー,牡,4,56.0,高橋悠里,岩手伊藤和忍,,,2022106867
2026/05/10,盛岡,,1,C2,ダ,1000,,8,3,3,エンジェルスラップ,シルバーステート,シルヴァースカヤ,牝,5,50.0,斉藤友香,岩手工藤裕孝,,,2021104249
2026/05/10,盛岡,,1,C2,ダ,1000,,8,4,4,アストラアヴィス,ホークビル,Trensa,牝,4,54.0,菅原辰徳,岩手石川栄,,,2022101602
2026/05/10,盛岡,,1,C2,ダ,1000,,8,5,5,ピースオブライツ,ラブリーデイ,ポップコーンジャズ,牝,4,54.0,岩本怜,岩手三野宮通,,,2022100129
2026/05/10,盛岡,,1,C2,ダ,1000,,8,6,6,アンズビジン,メイショウボーラー,ナイスレイズ,牝,9,54.0,高松亮,岩手佐藤雅彦,,,2017105759
2026/05/10,盛岡,,1,C2,ダ,1000,,8,7,7,メッチャサザン,ブラックタイド,ウインドインハーヘア,牡,5,54.0,関本玲花,岩手石川栄,,,2021105198
2026/05/10,盛岡,,1,C2,ダ,1000,,8,8,8,ソロフィオーレ,エポカドーロ,ダイワパッション,牝,4,54.0,佐々木志,岩手工藤裕孝,,,2022101483
2026/05/10,盛岡,,2,C2九組,ダ,1200,,9,1,1,イモータリティ,ハービンジャー,Penang Pearl,牡,4,56.0,小林凌,岩手工藤裕孝,,,2022101681
2026/05/10,盛岡,,2,C2九組,ダ,1200,,9,2,2,エバーアリエル,ブリックスアンドモルタル,Beyond the Waves,牝,5,54.0,岩本怜,岩手工藤裕孝,,,2021105822
2026/05/10,盛岡,,2,C2九組,ダ,1200,,9,3,3,ラストパラダイス,フェノーメノ,ディラローシェ,セ,5,56.0,鈴木祐,岩手櫻田康二,,,2021102446
2026/05/10,盛岡,,2,C2九組,ダ,1200,,9,4,4,トーセンオリジン,ディープインパクト,ウインドインハーヘア,牡,9,56.0,南郷家全,岩手櫻田浩樹,,,2017104415
2026/05/10,盛岡,,2,C2九組,ダ,1200,,9,5,5,キタノベルモント,パドトロワ,グランパドドゥ,牡,5,56.0,阿部英俊,岩手畠山信一,,,2021107035
