horse_id,horse_name,date,course,weather,race_number,race_name,num_horses,bracket_number,horse_number,odds,popularity,rank,jockey,weight_carried,surface,distance,track_condition,time,margin,passing_order,last_3f,horse_weight,weight_diff,winner_name,prize
2024100142,オリザノヴァ,2026/05/05,門別,曇,5,JRA認定競走アタッ(未勝利)(2歳),12,7,10,13.0,3.0,4,小野楓馬,55.0,ダ,1000.0,稍,63.5,2.4,4-5,39.0,462,-6,ツリーオブライフ,21.0
2024100142,オリザノヴァ,2026/04/23,門別,曇,5,JRA認定競走フレッ(新馬)(2歳),7,5,5,7.9,3.0,3,小野楓馬,55.0,ダ,1000.0,稍,63.5,1.1,2-3,38.5,468,0,ロゼットリボン,63.0
2024105258,サラカノ,2026/05/14,門別,曇,6,JRA認定競走フレッ(新馬)(2歳),7,1,1,20.6,6.0,3,阿部龍,55.0,ダ,1100.0,良,70.6,1.9,7-7,38.9,424.0,0.0,ハカタヴァンクール,63.0
2024105258,サラカノ,2026/04/29,門別,雨,6,JRA認定競走フレッ(新馬)(2歳),6,7,7,,,取,黒澤愛斗,55.0,ダ,1000.0,良,,,,,,,グランラック,
2024100382,キミトヒカレ,2026/05/05,門別,曇,5,JRA認定競走アタッ(未勝利)(2歳),12,6,8,246.4,11.0,9,藤田凌駕,53.0,ダ,1000.0,稍,65.1,4.0,11-11,38.9,416,2,ツリーオブライフ,
2024100382,キミトヒカレ,2026/04/15,門別,曇,6,JRA認定競走スーパ(新馬)(2歳),10,3,3,66.9,6.0,7,阿部龍,55.0,ダ,1000.0,良,64.5,3.8,7-8,38.7,414,0,ウンスイ,
2024106799,レディーダイヤ,2026/05/06,門別,晴,6,JRA認定競走フレッ(新馬)(2歳),8,2,2,4.2,3.0,6,岩橋勇二,55.0,ダ,1100.0,良,70.4,1.5,1-2,41.1,438,0,クラプロスパー,
2024107405,ピタゴラ,2026/05/13,門別,曇,6,JRA認定競走フレッ(新馬)(2歳),12,7,10,6.7,2.0,6,桑村真明,55.0,ダ,1100.0,良,71.4,2.7,3-6,40.4,476,0,ドッカンキャベツ,
2024100393,フロアガリノビール,2026/05/13,門別,曇,6,JRA認定競走フレッ(新馬)(2歳),12,6,7,55.9,10.0,3,井上瑛太,55.0,ダ,1100.0,良,70.9,2.2,9-9,38.7,438,0,ドッカンキャベツ,63.0
2024101061,ヤングゼネラル,2026/05/13,門別,曇,6,JRA認定競走フレッ(新馬)(2歳),12,3,3,68.3,11.0,7,宮内勇樹,55.0,ダ,1100.0,良,71.5,2.8,6-5,40.0,450,0,ドッカンキャベツ,
2024107280,ルナベレッツァ,2026/05/13,門別,曇,1,2歳未勝利(未勝利),9,3,3,62.1,6.0,2,岩橋勇二,55.0,ダ,1100.0,良,70.1,1.0,3-3,38.7,454,10,フォールドイン,14.0
2024107280,ルナベレッツァ,2026/04/23,門別,曇,6,JRA認定競走フレッ(新馬)(2歳),7,2,2,20.8,6.0,5,岩橋勇二,55.0,ダ,1100.0,稍,70.7,2.1,6-5,38.7,444,0,アクチュエル,21.0
2024103889,ベラジオアヴァロン,2026/05/13,門別,曇,1,2歳未勝利(未勝利),9,7,7,41.3,4.0,6,宮内勇樹,55.0,ダ,1100.0,良,70.5,1.4,5-5,38.6,444,2,フォールドイン,
2024103889,ベラジオアヴァロン,2026/04/23,門別,曇,6,JRA認定競走フレッ(新馬)(2歳),7,1,1,20.1,5.0,6,宮内勇樹,55.0,ダ,1100.0,稍,70.7,2.1,4-6,38.9,442,0,アクチュエル,
2024105201,アンビティオー,2026/04/29,門別,雨,6,JRA認定競走フレッ(新馬)(2歳),6,1,1,20.6,6.0,4,阿部龍,55.0,ダ,1000.0,良,64.4,1.3,5-5,39.4,470,0,グランラック,42.0
2024101124,ユイファイア,2026/05/13,門別,曇,6,JRA認定競走フレッ(新馬)(2歳),12,7,9,47.3,9.0,4,井上俊彦,55.0,ダ,1100.0,良,71.0,2.3,4-3,39.9,446,0,ドッカンキャベツ,42.0
2024100189,ジャムリスチール,2026/05/13,門別,曇,1,2歳未勝利(未勝利),9,6,6,79.8,8.0,8,石川倭,55.0,ダ,1100.0,良,72.2,3.1,8-8,39.3,418,0,フォールドイン,
2024100189,ジャムリスチール,2026/04/22,門別,晴,6,JRA認定競走フレッ(新馬)(2歳),8,1,1,17.4,5.0,8,石川倭,55.0,ダ,1000.0,稍,65.1,4.2,8-8,38.4,418,0,エルダーフラワー,
