date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,win_odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,1,5,7,イイデテッシン,牡,4,56.0,笹川翼,1:43.4,1:43.4,1,1.2,1:43.4,,大井村上頼章,516,-14,2022107141
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,2,8,12,シャンクドール,牝,4,51.0,▲杉山海波,1:43.6,1:43.6,5,,1:43.6,,大井中道啓二,472,4,2022104060
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,3,4,4,キバルスター,牡,7,56.0,福原杏,1:44.0,1:44.0,7,,1:44.0,,大井阪本一栄,486,-3,2019100990
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,4,7,10,カルサパラストリス,セ,4,55.0,☆中山遥人,1:44.8,1:44.8,12,,1:44.8,,大井阪本一栄,433,-2,2022106373
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,5,7,11,マキズシトイナ,牡,5,53.0,▲高橋優,1:45.1,1:45.1,8,,1:45.1,,大井高橋清顕,489,-4,2021103810
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,6,6,9,メイショウトキイロ,牝,4,54.0,藤本現暉,1:45.1,1:45.1,4,,1:45.1,,大井大宮和也,490,11,2022103258
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,7,6,8,ミチノシチリア,牡,8,56.0,和田譲治,1:45.1,1:45.1,3,,1:45.1,,大井嶋田幸晴,485,1,2018103497
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,8,5,6,メロパール,牝,6,54.0,西啓太,1:45.5,1:45.5,6,,1:45.5,,大井中道啓二,457,0,2020105237
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,9,2,2,ノアサンサン,牝,5,54.0,達城龍次,1:45.7,1:45.7,2,6.6,1:45.7,,大井鷹見浩,462,2,2021102843
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,10,4,5,ラヴレボーテ,牝,5,54.0,吉井章,1:45.9,1:45.9,9,,1:45.9,,大井米田英世,493,-2,2021105938
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,11,8,13,ゼンダンクラージュ,セ,7,56.0,遠藤健太,1:46.6,1:46.6,13,,1:46.6,,大井遠藤茂,487,6,2019106630
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,12,3,3,スカイレディ,牝,5,54.0,石川駿介,1:46.9,1:46.9,11,,1:46.9,,大井吉井竜一,495,1,2021110024
20260326,大井,雨,1,C3二三四(C3三),ダ,1600,不,13,13,1,1,ノリサムソン,牡,5,56.0,野畑凌,1:47.3,1:47.3,10,,1:47.3,,大井大宮和也,487,-2,2021106291
