date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,1,6,6,ローズピリオド,牡,7,57.0,平瀬城久,116.2,,1,2.3,39.7,1-1-1-1,金沢加藤和義,499.0,-1.0,2019100764
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,2,5,5,デルマアートマン,セ,5,57.0,加藤翔馬,117.1,4,6,11.7,40.2,9-9-2-2,金沢加藤和義,489.0,-14.0,2021104992
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,3,7,8,シスターアクト,牝,5,55.0,甲賀弘隆,117.6,2.1/2,9,39.9,39.6,8-8-8-8,金沢中川雅之,513.0,-1.0,2021103622
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,4,8,10,トレイルリッジ,牝,5,55.0,米倉知,117.7,3/4,3,8.7,41.0,2-2-3-3,金沢中川雅之,495.0,8.0,2021104986
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,5,2,2,タルバン,牡,4,57.0,柴田勇真,118.2,2.1/2,4,9.7,40.8,5-5-6-6,金沢加藤和宏,464.0,-4.0,2022103319
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,6,7,7,エコロブレード,牡,5,57.0,松戸政也,118.2,ハナ,5,10.9,40.2,7-7-9-7,金沢金田一昌,456.0,1.0,2021103713
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,7,4,4,ハクサンアルタイル,牡,6,57.0,栗原大河,118.4,3/4,8,15.4,40.1,10-10-10-10,金沢堀場裕充,453.0,4.0,2020100765
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,8,8,9,ゴールドブラボー,牝,5,55.0,青柳正義,118.5,3/4,2,3.9,41.5,4-4-5-4,金沢中川雅之,432.0,-9.0,2021106882
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,9,1,1,サノプリ,牝,7,55.0,中島龍也,118.7,3/4,7,13.6,41.7,6-6-4-5,金沢加藤和宏,444.0,6.0,2019102173
2026/03/29,金沢,晴,9,スマホで投票!楽天競馬特別(A1),ダ,1700,良,10,10,3,3,クリノチャールズ,牡,4,57.0,田知弘久,120.1,7,10,95.6,42.8,3-3-7-9,金沢加藤和宏,446.0,-7.0,2022101440
